company_name,카테고리,거래단계,투자단계,사원수,회사설명,거래일,거래금액
삼성전자,전자제품,상담,Series B,87235,"삼성전자는 전자제품, 반도체, 통신 장비 등 다양한 제품을 제조하는 글로벌 기업입니다.",2023-01-01,962223315
현대자동차,자동차,상담,Series C,89546,"현대자동차는 승용차, 상용차 등 다양한 자동차를 생산하는 글로벌 자동차 제조업체입니다.",2023-01-26,210602104
SK하이닉스,반도체,상담,Series D,71109,SK하이닉스는 메모리 반도체를 주로 생산하는 세계적인 반도체 기업입니다.,2023-02-20,526884630
LG화학,화학,계약,Series A,73577,"LG화학은 배터리, 석유화학, 첨단소재 등 다양한 화학 제품을 제조하는 기업입니다.",2023-03-17,745299546
포스코,철강,상담,Series A,43349,"포스코는 철강 제조업체로, 철강 제품을 글로벌 시장에 공급하고 있습니다.",2023-04-11,918046977
LG전자,전자제품,계약,Series D,39906,"LG전자는 가전제품, 모바일 기기, 디스플레이 등 다양한 전자제품을 제조하는 기업입니다.",2023-05-06,892623574
기아,자동차,협상,Series A,27524,"기아는 다양한 모델의 승용차, SUV, 상용차를 생산하는 글로벌 자동차 제조업체입니다.",2023-06-01,456866563
삼성SDI,배터리,상담,Series D,34170,삼성SDI는 배터리 및 에너지 저장 시스템을 주로 생산하는 기업입니다.,2023-06-26,878415309
NAVER,인터넷,상담,Series C,59430,"NAVER는 검색 포털, 광고, 콘텐츠 서비스 등 다양한 인터넷 서비스를 제공하는 기업입니다.",2023-07-21,537150936
카카오,인터넷,협상,Series B,32587,"카카오는 메신저, 광고, 게임, 금융 등 다양한 인터넷 서비스를 제공하는 기업입니다.",2023-08-15,399025640
KB금융,금융,계약,Series C,15221,"KB금융은 은행, 보험, 증권 등 다양한 금융 서비스를 제공하는 기업입니다.",2023-09-09,939111334
신한지주,금융,상담,Series D,29253,"신한지주는 은행, 카드, 보험 등 다양한 금융 서비스를 제공하는 기업입니다.",2023-10-04,625114209
현대모비스,자동차,협상,Series D,36395,"현대모비스는 자동차 부품을 생산하며, 모듈 및 시스템 단위의 부품을 공급하는 기업입니다.",2023-10-30,548469070
삼성물산,건설,계약,Series C,15201,"삼성물산은 건설, 상사, 패션, 리조트 등 다양한 사업을 운영하는 글로벌 기업입니다.",2023-11-24,925482933
삼성생명,보험,협상,Series A,10134,삼성생명은 다양한 보험 상품을 제공하는 한국의 대표적인 생명보험 회사입니다.,2023-12-19,953212832
LG생활건강,생활용품,계약,Series A,87391,"LG생활건강은 화장품, 생활용품, 음료 등을 제조 및 판매하는 기업입니다.",2024-01-13,120590812
삼성에스디에스,IT서비스,계약,Series D,87926,삼성에스디에스는 IT 서비스 및 솔루션을 제공하는 기업입니다.,2024-02-07,172231062
한국전력,전력,협상,Series A,58385,한국전력은 전력 생산 및 공급을 담당하는 한국의 대표적인 공기업입니다.,2024-03-03,407139744
SK텔레콤,통신,상담,Series D,95686,"SK텔레콤은 이동통신 서비스, ICT 솔루션 등을 제공하는 한국의 주요 통신사입니다.",2024-03-29,786729318
KT&G,담배,협상,Series B,49086,"KT&G는 담배 제조업체로, 다양한 담배 제품을 생산 및 판매합니다.",2024-04-23,644353159
SK이노베이션,에너지,협상,Series D,7629,"SK이노베이션은 석유화학, 배터리, 에너지 관련 사업을 운영하는 기업입니다.",2024-05-18,623260003
한화솔루션,화학,협상,Series D,60114,"한화솔루션은 화학, 태양광, 첨단소재 등 다양한 사업을 운영하는 기업입니다.",2024-06-12,432993694
롯데케미칼,화학,상담,Series D,15649,롯데케미칼은 석유화학 제품을 주로 생산하는 글로벌 화학 기업입니다.,2024-07-07,849099934
POSCO홀딩스,철강,협상,Series C,23506,"POSCO홀딩스는 철강 제조업체로, 철강 제품을 글로벌 시장에 공급하고 있습니다.",2024-08-01,741930421
LG유플러스,통신,상담,Series A,27442,"LG유플러스는 이동통신, 인터넷 서비스 등을 제공하는 한국의 주요 통신사입니다.",2024-08-27,622446081
삼성전기,전자부품,상담,Series D,43995,삼성전기는 전자 부품을 주로 생산하는 글로벌 기업입니다.,2024-09-21,714782798
삼성바이오로직스,바이오,협상,Series B,55659,"삼성바이오로직스는 바이오 의약품의 연구, 개발, 제조를 전문으로 하는 기업입니다.",2024-10-16,160782838
SK바이오팜,바이오,계약,Series D,99244,SK바이오팜은 신약 개발 및 판매를 전문으로 하는 바이오 제약 회사입니다.,2024-11-10,624286640
넷마블,게임,상담,Series C,45444,넷마블은 모바일 및 온라인 게임을 개발하고 서비스하는 글로벌 게임 회사입니다.,2024-12-05,886474342
두산중공업,중공업,상담,Series C,20304,"두산중공업은 발전 설비, 플랜트 등을 제작 및 공급하는 중공업 기업입니다.",2024-12-31,269274077
