회사명,카테고리,거래단계,회사설명,도메인,투자단계,거래일,거래금액
알파 테크,소프트웨어,잠재고객,AI 솔루션을 전문으로 하는 선도적인 소프트웨어 개발 회사.,alphatech.com,시리즈 A,2022-01-31,3289404
베타 솔루션즈,컨설팅,협상 중,비즈니스 최적화 서비스를 제공하는 컨설팅 회사.,betasolutions.com,시리즈 B,2022-04-30,1558684
감마 엔터프라이즈,제조업,자격 확인됨,고정밀 산업 부품을 제조하는 제조업체.,gammaenterprises.com,시리즈 C,2022-07-31,1166724
델타 코퍼레이션,금융,제안서 발송,자산 관리 솔루션을 제공하는 금융 서비스 회사.,deltacorp.com,시리즈 A,2022-10-31,1362145
엡실론 이노베이션스,바이오텍,고객,혁신적인 헬스케어 솔루션에 중점을 둔 바이오텍 회사.,epsiloninnovations.com,시리즈 B,2023-01-31,2177625
제타 시스템즈,IT 서비스,리드,IT 지원 및 관리 서비스를 제공하는 업체.,zetasystems.com,시리즈 C,2023-04-30,3495364
에타 테크놀로지스,엔지니어링,기회,대규모 인프라 프로젝트로 유명한 엔지니어링 회사.,etatechnologies.com,시리즈 A,2023-07-31,1398814
세타 서비스,헬스케어,계약 발송,클리닉 네트워크를 가진 헬스케어 서비스 제공업체.,theta-services.com,시리즈 B,2023-10-31,1243862
아이오타 인더스트리스,소매,고객,백화점 체인을 보유한 소매 회사.,iotaiindustries.com,시리즈 C,2024-01-31,1146485
카파 홀딩스,물류,실패,글로벌 공급망 솔루션을 제공하는 물류 회사.,kappaholdings.com,시리즈 A,2024-04-30,2244221
람다 코퍼레이션,소프트웨어,잠재고객,선도적인 소프트웨어 개발 회사.,lambdacorp.com,시리즈 B,2024-07-31,3042197
뮤 솔루션즈,컨설팅,협상 중,최적화 서비스를 제공하는 컨설팅 회사.,musolutions.com,시리즈 C,2024-10-31,1115735
누 테크놀로지스,제조업,자격 확인됨,산업 부품을 제조하는 제조업체.,nutec.com,시리즈 A,2025-01-31,3618331
크사이 엔터프라이즈,금융,제안서 발송,관리 솔루션을 제공하는 금융 서비스 회사.,ksienterprises.com,시리즈 B,2025-04-30,1750679
오메가 시스템즈,바이오텍,고객,헬스케어 솔루션에 중점을 둔 바이오텍 회사.,omegasystems.com,시리즈 C,2025-07-31,3278535
피 테크,IT 서비스,리드,IT 관리 서비스를 제공하는 업체.,pitech.com,시리즈 A,2025-10-31,1417478
로 서비스,엔지니어링,기회,인프라 프로젝트로 유명한 엔지니어링 회사.,roservices.com,시리즈 B,2026-01-31,2673393
시그마 인더스트리스,헬스케어,계약 발송,네트워크를 가진 헬스케어 서비스 제공업체.,sigmaindustries.com,시리즈 C,2026-04-30,1282922
타우 솔루션즈,소매,고객,체인을 보유한 소매 회사.,tausolutions.com,시리즈 A,2026-07-31,2383065
업실론 이노베이션스,물류,실패,글로벌 공급망 솔루션을 제공하는 회사.,upsiloninnovations.com,시리즈 B,2026-10-31,3992874
파이 테크,소프트웨어,잠재고객,AI 솔루션을 전문으로 하는 소프트웨어 개발 회사.,pitech.com,시리즈 C,2027-01-31,2126275
치 시스템즈,컨설팅,협상 중,비즈니스 최적화 서비스를 제공하는 회사.,chisystems.com,시리즈 A,2027-04-30,1977818
프사이 코퍼레이션,제조업,자격 확인됨,산업 부품을 제조하는 업체.,psicorp.com,시리즈 B,2027-07-31,3298123
오메가 서비스,금융,제안서 발송,자산 관리 솔루션을 제공하는 회사.,omegaservices.com,시리즈 C,2027-10-31,2166038
알파 솔루션즈,바이오텍,고객,혁신적인 헬스케어 솔루션에 중점을 둔 회사.,alphasolutions.com,시리즈 A,2028-01-31,2627944
베타 테크놀로지스,IT 서비스,리드,IT 지원 및 관리 서비스를 제공하는 회사.,betatech.com,시리즈 B,2028-04-30,1600122
감마 시스템즈,엔지니어링,기회,대규모 인프라 프로젝트로 유명한 회사.,gammasystems.com,시리즈 C,2028-07-31,2911294
델타 서비스,헬스케어,계약 발송,클리닉 네트워크를 가진 제공업체.,deltaservices.com,시리즈 A,2028-10-31,2564238
엡실론 인더스트리스,소매,고객,백화점 체인을 보유한 회사.,epsilonindustries.com,시리즈 B,2029-01-31,2112357
제타 솔루션즈,물류,실패,글로벌 공급망 솔루션을 제공하는 회사.,zetasolutions.com,시리즈 C,2029-04-30,1129551
